client=127.0.0.1 | CONNECTED
client=127.0.0.1 | AUTH_SUCCESS
client=127.0.0.1 | DISCONNECTED
client=127.0.0.1 | CONNECTED
client=127.0.0.1 | AUTH_SUCCESS
client=127.0.0.1 | DISCONNECTED
client=127.0.0.1 | CONNECTED
client=127.0.0.1 | AUTH_SUCCESS
client=127.0.0.1 | TELEMETRY_ACCEPTED
client=127.0.0.1 | DISCONNECTED
client=127.0.0.1 | CONNECTED
client=127.0.0.1 | AUTH_SUCCESS
client=127.0.0.1 | DISCONNECTED
client=127.0.0.1 | CONNECTED
client=127.0.0.1 | AUTH_SUCCESS
client=127.0.0.1 | DISCONNECTED
client=127.0.0.1 | CONNECTED
client=127.0.0.1 | AUTH_SUCCESS
client=127.0.0.1 | CONNECTED
client=127.0.0.1 | AUTH_SUCCESS
client=127.0.0.1 | DISCONNECTED
client=127.0.0.1 | DISCONNECTED
